gr21.tsp 5 21 200 0.1 0.9 OX SWP TUR ECH NCH 1000 0 2707 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
2908;7.43997;0;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;2707;0
3406;25.8515;0;100;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;2707;0
2957;9.2427;0;100;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;2707;0
3268;20.7314;0;100;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;2707;0
2849;5.25305;0;100;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;2707;0
3268;20.7388;0;100;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;2707;0
3167;17.0151;0;100;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;2707;0
3405;25.785;0;100;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;2707;0
3161;16.8009;0;100;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;2707;0
3232;19.4237;0;100;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3510;29.6786;0;100;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;2707;0
3203;18.3229;0;100;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;2707;0
3071;13.454;0;100;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;2707;0
3264;20.5837;0;100;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3083;13.9047;0;100;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;2707;0
3255;20.2586;0;100;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2874;6.19874;0;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;2707;0
3111;14.9317;0;100;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;2707;0
3054;12.826;0;100;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;2707;0
3230;19.3277;0;100;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;2707;0
2957;9.25748;0;100;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;2707;0
3311;22.3199;0;100;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;2707;0
3410;25.9771;0;100;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;2707;0
3366;24.3443;0;100;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;2707;0
3054;12.826;0;100;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;2707;0
3270;20.7979;0;100;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3280;21.1747;0;100;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;2707;0
3180;17.4806;0;100;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;2707;0
3108;14.8282;1;100;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;2707;0
3060;13.0403;0;100;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3171;17.1481;0;100;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;2707;0
3187;17.7392;0;100;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2823;4.31474;0;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;2707;0
3166;16.9708;0;100;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;2707;0
2836;4.79498;0;100;0.3;0.7;OX;SWP;DUE;FCH;GEN;1000;2707;0
3232;19.4237;0;100;0.3;0.7;PMX;SWP;DUE;FCH;GEN;1000;2707;0
2877;6.28001;0;100;0.3;0.7;OX;SWP;DUE;ECH;NCH;1000;2707;0
2953;9.10233;0;100;0.3;0.7;PMX;SWP;DUE;ECH;NCH;1000;2707;0
2967;9.6195;0;100;0.3;0.7;OX;SWP;DUE;ECH;GEN;1000;2707;0
3287;21.4481;0;100;0.3;0.7;PMX;SWP;DUE;ECH;GEN;1000;2707;0
3145;16.1803;0;100;0.3;0.7;OX;SWP;TUR;FCH;NCH;1000;2707;0
3360;24.1448;0;100;0.3;0.7;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3270;20.8127;0;100;0.3;0.7;OX;SWP;TUR;FCH;GEN;1000;2707;0
3164;16.8895;0;100;0.3;0.7;PMX;SWP;TUR;FCH;GEN;1000;2707;0
3160;16.7566;0;100;0.3;0.7;OX;SWP;TUR;ECH;NCH;1000;2707;0
3202;18.3081;0;100;0.3;0.7;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3134;15.7887;0;100;0.3;0.7;OX;SWP;TUR;ECH;GEN;1000;2707;0
3039;12.2793;0;100;0.3;0.7;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2842;5.00924;0;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;1000;2707;0
2986;10.3288;0;100;0.3;0.9;PMX;SWP;DUE;FCH;NCH;1000;2707;0
2908;7.43997;0;100;0.3;0.9;OX;SWP;DUE;FCH;GEN;1000;2707;0
3379;24.8467;0;100;0.3;0.9;PMX;SWP;DUE;FCH;GEN;1000;2707;0
2784;2.85925;0;100;0.3;0.9;OX;SWP;DUE;ECH;NCH;1000;2707;0
3141;16.0621;0;100;0.3;0.9;PMX;SWP;DUE;ECH;NCH;1000;2707;0
2997;10.7351;0;100;0.3;0.9;OX;SWP;DUE;ECH;GEN;1000;2707;0
3254;20.2143;0;100;0.3;0.9;PMX;SWP;DUE;ECH;GEN;1000;2707;0
3226;19.1947;0;100;0.3;0.9;OX;SWP;TUR;FCH;NCH;1000;2707;0
3020;11.5848;0;100;0.3;0.9;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3064;13.188;0;100;0.3;0.9;OX;SWP;TUR;FCH;GEN;1000;2707;0
3383;24.9723;0;100;0.3;0.9;PMX;SWP;TUR;FCH;GEN;1000;2707;0
3237;19.601;1;100;0.3;0.9;OX;SWP;TUR;ECH;NCH;1000;2707;0
3253;20.1847;1;100;0.3;0.9;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3097;14.4071;0;100;0.3;0.9;OX;SWP;TUR;ECH;GEN;1000;2707;0
3163;16.8526;0;100;0.3;0.9;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2936;8.46694;0;200;0.1;0.7;OX;SWP;DUE;FCH;NCH;1000;2707;0
3372;24.5659;0;200;0.1;0.7;PMX;SWP;DUE;FCH;NCH;1000;2707;0
3037;12.198;0;200;0.1;0.7;OX;SWP;DUE;FCH;GEN;1000;2707;0
3106;14.7396;0;200;0.1;0.7;PMX;SWP;DUE;FCH;GEN;1000;2707;0
3092;14.2519;1;200;0.1;0.7;OX;SWP;DUE;ECH;NCH;1000;2707;0
3364;24.2704;1;200;0.1;0.7;PMX;SWP;DUE;ECH;NCH;1000;2707;0
3079;13.7569;0;200;0.1;0.7;OX;SWP;DUE;ECH;GEN;1000;2707;0
3288;21.4629;0;200;0.1;0.7;PMX;SWP;DUE;ECH;GEN;1000;2707;0
2861;5.68895;1;200;0.1;0.7;OX;SWP;TUR;FCH;NCH;1000;2707;0
3111;14.9243;2;200;0.1;0.7;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3009;11.1563;0;200;0.1;0.7;OX;SWP;TUR;FCH;GEN;1000;2707;0
3329;23.007;0;200;0.1;0.7;PMX;SWP;TUR;FCH;GEN;1000;2707;0
2935;8.43;2;200;0.1;0.7;OX;SWP;TUR;ECH;NCH;1000;2707;0
3318;22.5859;3;200;0.1;0.7;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3322;22.7189;0;200;0.1;0.7;OX;SWP;TUR;ECH;GEN;1000;2707;0
3412;26.0731;0;200;0.1;0.7;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2907;7.40303;0;200;0.1;0.9;OX;SWP;DUE;FCH;NCH;1000;2707;0
3214;18.744;0;200;0.1;0.9;PMX;SWP;DUE;FCH;NCH;1000;2707;0
2853;5.39342;0;200;0.1;0.9;OX;SWP;DUE;FCH;GEN;1000;2707;0
3277;21.0639;0;200;0.1;0.9;PMX;SWP;DUE;FCH;GEN;1000;2707;0
2823;4.29257;0;200;0.1;0.9;OX;SWP;DUE;ECH;NCH;1000;2707;0
3279;21.1304;1;200;0.1;0.9;PMX;SWP;DUE;ECH;NCH;1000;2707;0
2870;6.04359;0;200;0.1;0.9;OX;SWP;DUE;ECH;GEN;1000;2707;0
3254;20.2216;0;200;0.1;0.9;PMX;SWP;DUE;ECH;GEN;1000;2707;0
2999;10.8164;1;200;0.1;0.9;OX;SWP;TUR;FCH;NCH;1000;2707;0
2984;10.2623;1;200;0.1;0.9;PMX;SWP;TUR;FCH;NCH;1000;2707;0
3025;11.7473;0;200;0.1;0.9;OX;SWP;TUR;FCH;GEN;1000;2707;0
3174;17.2516;0;200;0.1;0.9;PMX;SWP;TUR;FCH;GEN;1000;2707;0
3209;18.5741;3;200;0.1;0.9;OX;SWP;TUR;ECH;NCH;1000;2707;0
3295;21.7215;3;200;0.1;0.9;PMX;SWP;TUR;ECH;NCH;1000;2707;0
3091;14.1928;0;200;0.1;0.9;OX;SWP;TUR;ECH;GEN;1000;2707;0
3248;19.9926;0;200;0.1;0.9;PMX;SWP;TUR;ECH;GEN;1000;2707;0
2784;2.84448;0;200;0.3;0.7;OX;SWP;DUE;FCH;NCH;1000;2707;0
2940;8.62948;0;200;0.3;0.7;PMX;SWP;DUE;FCH;NCH;1000;2707;0
