tsp_6_1.txt 100 6 132 { 0 1 2 3 4 5 }
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	134
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	115
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	147
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	199
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	116
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	114
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	134
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	112
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	130
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	111
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	113
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	165
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	117
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	117
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	116
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	116
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	120
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	115
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	115
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	115
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	115
0 , 1 , 2 , 3 , 4 , 5 , 0 ,  ; 132;	114
