pr2392.tsp.txt 1 2392 200 0.3 0.9 OX INV DUE FCH NCH 150 0 378032 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
9606330;	2441.14;	301;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
10551864;	2691.26;	301;200;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
11274638;	2882.46;	302;300;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
11757572;	3010.21;	302;400;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
12249297;	3140.28;	303;500;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
