pr2392.tsp.txt 2 2392 200 0.3 0.9 OX INV DUE FCH NCH 150 0 378032 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
9445726;	2398.66;	301;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9407499;	2388.55;	301;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9298667;	2359.76;	301;100;0.3;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9469483;	2404.94;	301;100;0.3;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9466083;	2404.04;	301;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9485133;	2409.08;	301;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9491234;	2410.7;	301;100;0.2;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9444259;	2398.27;	301;100;0.2;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9452475;	2400.44;	301;100;0.2;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9414884;	2390.5;	301;100;0.2;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9630856;	2447.63;	301;100;0.2;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9461776;	2402.9;	301;100;0.2;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9591429;	2437.2;	301;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9526399;	2420;	301;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9703386;	2466.82;	301;100;0.1;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9602163;	2440.04;	301;100;0.1;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9605304;	2440.87;	301;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9658518;	2454.95;	301;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
