pr2392.tsp.txt 2 2392 200 0.3 0.9 OX INV DUE FCH NCH 150 0 378032 No optimal path
totalCost;error;time;PopulationNumber;pm;pk;cross;mutate;select;success;stop;stopCounter;optimalPathSize;maxErrorRatio
9426612;2393.6;301;100;0.3;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9384075;2382.35;301;100;0.3;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9475608;2406.56;301;100;0.3;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9467746;2404.48;301;100;0.2;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9433679;2395.47;301;100;0.2;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9546316;2425.27;301;100;0.2;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
9558914;2428.6;301;100;0.1;0.9;OX;SWP;DUE;FCH;NCH;150;378032;0
9652774;2453.43;301;100;0.1;0.8;OX;SWP;DUE;FCH;NCH;150;378032;0
9631911;2447.91;301;100;0.1;0.7;OX;SWP;DUE;FCH;NCH;150;378032;0
