tsp_6_2.txt 10 6 80  { 0 5 1 2 3 4 }
totalCost;error;time;InitialTemperature;coolingRatio;epochSize;Geometrical
283;33.9151;286;1000;0;100
249;17.5;2836;1000;0;1000
217;2.68868;27794;1000;0;10000
326;54.0094;41;10000;0;10
283;33.8679;364;10000;0;100
246;16.4623;3583;10000;0;1000
221;4.24528;35724;10000;0;10000
tsp_12.txt 10 12 264  { 0 1 8 4 6 2 11 9 7 5 3 10 }
totalCost;error;time;InitialTemperature;coolingRatio;epochSize;Geometrical
437;65.7197;44;10;0.9;10
377;42.8788;258;10;0.9;100
347;31.6288;2460;10;0.9;1000
322;22.3106;24732;10;0.9;10000
398;51.0606;83;10;0.99;10
367;39.3182;731;10;0.99;100
325;23.1061;7286;10;0.99;1000
311;17.8409;72830;10;0.99;10000
378;43.2197;270;10;0.999;10
338;28.1818;2401;10;0.999;100
314;18.9773;23721;10;0.999;1000
294;11.553;233428;10;0.999;10000
357;35.4545;825;10;0.9999;10
329;24.9242;7458;10;0.9999;100
309;17.1212;74989;10;0.9999;1000
288;9.43182;750602;10;0.9999;10000
413;56.4773;39;100;0.9;10
370;40.1515;333;100;0.9;100
344;30.3409;3246;100;0.9;1000
315;19.4318;32235;100;0.9;10000
398;50.9848;123;100;0.99;10
362;37.2348;1113;100;0.99;100
328;24.2424;10850;100;0.99;1000
306;16.0985;105413;100;0.99;10000
381;44.6591;378;100;0.999;10
343;30;3387;100;0.999;100
317;20.0758;33444;100;0.999;1000
290;9.96212;335991;100;0.999;10000
357;35.4545;1171;100;0.9999;10
329;24.9242;10375;100;0.9999;100
304;15.2273;104600;100;0.9999;1000
285;8.06818;1053611;100;0.9999;10000
416;57.6515;45;1000;0.9;10
371;40.5303;391;1000;0.9;100
343;30.1136;3899;1000;0.9;1000
319;21.1364;37819;1000;0.9;10000
388;47.0833;153;1000;0.99;10
347;31.7045;1359;1000;0.99;100
326;23.75;13265;1000;0.99;1000
305;15.5682;128099;1000;0.99;10000
365;38.2955;445;1000;0.999;10
338;28.0303;4115;1000;0.999;100
315;19.6591;41358;1000;0.999;1000
290;9.84848;413299;1000;0.999;10000
360;36.3636;1434;1000;0.9999;10
323;22.6515;13335;1000;0.9999;100
295;11.7803;129950;1000;0.9999;1000
288;9.31818;1295048;1000;0.9999;10000
410;55.4924;52;10000;0.9;10
360;36.4015;449;10000;0.9;100
340;29.0152;4425;10000;0.9;1000
315;19.4697;44497;10000;0.9;10000
382;44.7348;170;10000;0.99;10
351;33.1818;1508;10000;0.99;100
330;25.2273;14640;10000;0.99;1000
307;16.3636;150972;10000;0.99;10000
374;41.8182;552;10000;0.999;10
342;29.8106;4994;10000;0.999;100
309;17.2348;47369;10000;0.999;1000
289;9.54545;482882;10000;0.999;10000
349;32.3106;1711;10000;0.9999;10
331;25.7197;15228;10000;0.9999;100
302;14.6591;148576;10000;0.9999;1000
278;5.64394;1491214;10000;0.9999;10000
totalCost;error;time;InitialTemperature;coolingRatio;epochSize;Boltzman
422;60;17;10;0;10
387;46.9318;141;10;0;100
355;34.6212;1374;10;0;1000
323;22.3485;13877;10;0;10000
416;57.5758;26;100;0;10
384;45.7955;220;100;0;100
352;33.4091;2186;100;0;1000
316;19.697;21641;100;0;10000
424;60.7955;34;1000;0;10
376;42.6894;294;1000;0;100
342;29.5455;2885;1000;0;1000
314;19.2424;28882;1000;0;10000
408;54.5455;42;10000;0;10
368;39.3939;369;10000;0;100
338;28.0303;3621;10000;0;1000
315;19.6591;36071;10000;0;10000
tsp_13.txt 10 13 269  { 0 10 3 5 7 9 11 2 6 4 8 1 12 }
totalCost;error;time;InitialTemperature;coolingRatio;epochSize;Geometrical
458;70.5948;33;10;0.9;10
410;52.7138;236;10;0.9;100
385;43.3829;2378;10;0.9;1000
346;28.9219;24430;10;0.9;10000
447;66.4312;83;10;0.99;10
396;47.5093;739;10;0.99;100
366;36.2454;7307;10;0.99;1000
340;26.6543;73531;10;0.99;10000
406;51.2268;272;10;0.999;10
388;44.2379;2421;10;0.999;100
348;29.7026;23878;10;0.999;1000
322;19.8885;236255;10;0.999;10000
386;43.829;866;10;0.9999;10
365;35.9108;7743;10;0.9999;100
329;22.342;74679;10;0.9999;1000
310;15.5762;760288;10;0.9999;10000
445;65.7621;37;100;0.9;10
402;49.7398;322;100;0.9;100
381;41.6729;3174;100;0.9;1000
345;28.4758;32446;100;0.9;10000
419;56.0223;123;100;0.99;10
394;46.7286;1098;100;0.99;100
361;34.5353;10766;100;0.99;1000
336;25.0929;109143;100;0.99;10000
402;49.5539;372;100;0.999;10
365;35.9108;3362;100;0.999;100
340;26.5799;33590;100;0.999;1000
318;18.4387;331477;100;0.999;10000
384;42.8625;1230;100;0.9999;10
358;33.3457;10966;100;0.9999;100
336;25.0558;106878;100;0.9999;1000
315;17.3234;1070946;100;0.9999;10000
445;65.539;47;1000;0.9;10
414;54.2379;409;1000;0.9;100
357;32.7881;4018;1000;0.9;1000
349;29.8141;39864;1000;0.9;10000
423;57.4721;153;1000;0.99;10
380;41.3755;1365;1000;0.99;100
360;34.1636;13397;1000;0.99;1000
334;24.3494;128493;1000;0.99;10000
407;51.3011;480;1000;0.999;10
378;40.5948;4324;1000;0.999;100
339;26.2454;42245;1000;0.999;1000
321;19.6654;413687;1000;0.999;10000
382;42.3048;1490;1000;0.9999;10
366;36.0967;13399;1000;0.9999;100
327;21.7472;131423;1000;0.9999;1000
306;13.829;1297536;1000;0.9999;10000
437;62.6766;53;10000;0.9;10
410;52.5651;460;10000;0.9;100
353;31.487;4575;10000;0.9;1000
343;27.7323;44887;10000;0.9;10000
408;51.6729;176;10000;0.99;10
386;43.5688;1571;10000;0.99;100
358;33.3829;14609;10000;0.99;1000
327;21.8587;151720;10000;0.99;10000
402;49.5911;525;10000;0.999;10
373;38.8104;4648;10000;0.999;100
